Song-Name,Artists,Genre,Album
Bom Diggy Diggy,"Jasmin Walia, Zack Knight",BollywoodDance,Sonu Ke Titu Ki Sweety
Issaqbaazi,"Divya Kumar, Sukhwinder Singh",BollywoodDance,Zero
Mere Naam Tu,Abhay Jodhpurkar,BollywoodRomantic,Zero
Nazam Nazam,"Arko, Ayushman Khurana",BollywoodRomance,Bareilly Ki Barfi
Good Morning,"Shannon Donald, Vishal Dadlani",Bollywood,Ek Ladki Ko Dekha Toh Aisa Laga
O Saathi,"Atif Aslam, Payal Dev",BollywoodRomantic,Baaghi 2
Tere Jaisa,"Arko, Tulsi Kumar",BollywoodRomantic,Satyameva Jayate
Mera Intkam Dekhegi,Krishna Beuraa,BollywoodSad,Shaadi Mein Zaroor Aana
Gerua,"Antara Mitra, Arijit Singh",BollywoodRomantic,Dilwale
Suraiyya,"Shreya Ghoshal, Vishal Dadlani",BollywoodDance,Thugs of Hindostan
Gold Tamba,Nakash Aziz,BollywoodDance,Batti Gul Meter Chalu
Ae Dil Hai Mushkil,Arijit Singh,BollywoodSad,Ae Dil Hai Mushkil
Prem Ratan Dhan Payo,Palak Muchhal,BollywoodDanceRomantic,Prem Ratan Dhan Payo
Mohabbat,Sunidhi Chauhan,BollywoodDance,Fanney Khan
Nainowale Ne,Neeti Mohan,BollywoodRomantic,Padmaavat
Mummy Kasam,"Gurinder Seagal, Payal Dev",BollywoodDance,Nawabzaade
Nasha,Amit Gupta,BollywoodSensual,Game Paisa Ladki
Bulleya,"Amit Mishra, Shilpa Rao",BollywoodDanceSad,Ae Dil Hai Mushkil
Kar Gayi Chull,"Badshah, Fazilpuria, Neha Kakkar, Sukriti Kakar",BollywoodDance,Kapoor & Sons
Musafir,"Atif Aslam, Palak Muchhal",BollywoodSad,Sweetiee Weds NRI
Binte Dil,Arijit Singh,BollywoodDance,Padmaavat
Halka Halka,"Divya Kumar, Sunidhi Chauhan",BollywoodRomantic,Fanney Khan
Humsafar,"Akhil Sachdeva, Mansheel Gujral",BollywoodRomanticSad,Badrinath Ki Dulhania
Chad Gayi Hai,"Jigar, Sachin Sanghvi, Vishal Dadlani",BollywoodDance,Gold
Tum Mere Ho,"Amrita Singh, Jubin Nautiyal",BollywoodSensual,Hate Story 4
Bole Chudiyan,"Alka Yagnik, Amit Kumar, Kavita Krishnamurthy, Sonu Nigam, Udit Narayan",BollywoodDanceRomantic,Kabhi Khushi Kabhie Gham
Sawarne Lage,Jubin Nautiyal,BollywoodRomantic,Mitron
Chalti Hai Kya 9 Se 12,"Dev Negi, Neha Kakkar",BollywoodDance,Judwaa 2
Selfish,"Atif Aslam, Iulia Vantur",BollywoodRomantic,Race 3
Oonchi Hai Building,"Anu Malik, Neha Kakkar",BollywoodDance,Judwaa 2
Shikwa Nahin Kisi Se,Kumar Sanu,BollywoodSad,Naseeb
Sanam Re,Arijit Singh,BollywoodRomantic,Sanam Re
Dekha Hai Pehli Baar,"Alka Yagnik, S.P. Balasubrahmanyam",BollywoodDance,Saajan
Phir Bhi Tumko Chaahunga,"Arijit Singh, Shashaa Tirupati",BollywoodSad,Half Girlfriend
Suit Suit,"Arjun, Guru Randhawa",BollywoodDance,Hindi Medium
Lakk Mera Hit,"Mannat Noor, Rochak Kohli, Sukriti Kakar",BollywoodDance,Sonu Ke Titu Ki Sweety
Sexy Baliye,Mika Singh,BollywoodDance,Dil Chahta Hai
Main Jahaan Rahoon,Rahat Fateh Ali Khan,BollywoodSad,Namastey London
Hasi Ban Gaye,Shreya Ghoshal,BollywoodRomantic,Hamari Adhuri Kahani
Nachde Ne Saare,"Harshdeep Kaur, Jasleen Royal, Siddharth Mahadevan",BollywoodDance,Baar Baar Dekho
Manma Emotion Jaage,"Amit Mishra, Antara Mitra, Anushka Manchanda",BollywoodDanceRomantic,Dilwale
Happy Happy,"Aastha Gill, Badshah",Bollywood,Blackmail
Tujhko Na Dekhun,"Sunidhi Chauhan, Udit Narayan",Bollywood,Jaanwar
Theher Ja,Armaan Malik,BollywoodRomantic,October
Boond Boond,"Jubin Nautiyal, Neeti Mohan",BollywoodRomantic,Hate Story 4
Adhura Lafz,"Pratibha Singh Baghel, Rahat Fateh Ali Khan",BollywoodRomantic,Baazaar
Trippy Trippy,"Badshah, Benny Dayal, Brijesh Shandilya, Neha Kakkar",BollywoodDance,Bhoomi
Tukur Tukur,"Arijit Singh, Kanika Kapoor, Nakash Aziz, Neha Kakkar, Siddharth Mahadevan",BollywoodDance,Dilwale
Teri Khair Mangdi,Bilal Saeed,BollywoodSad,Baar Baar Dekho
Pinga,"Shreya Ghoshal, Vasihali Made",BollywoodDance,Bajirao Mastani
Haanikaarak,Sarwar Khan,Bollywood,Dangal
Tere Thumke Sapna Chaudhary,"Gunwant Sen, Khushboo Jain, Saumya Upadhyay",BollywoodDance,Nanu Ki Jaanu
